LinkingId,CategoryID,ProductID,DisplayOrder
1934497,198,3588,
1934498,198,3865,
1934499,198,3740,
1934500,198,866,
1934501,198,771,
1934502,198,755,
1934503,198,756,
1934504,198,773,
1934505,198,774,
1934506,198,1947,
1934507,198,775,
1934508,198,1571,
1934509,198,3222,
1934510,198,3221,
1934511,198,835,
1934512,198,1567,
1934513,198,1579,
1934514,198,3181,
1934516,198,1574,
1934518,198,1577,
1934519,198,1576,
1934520,198,1581,
1934521,198,1578,
1934522,198,3178,
1934523,198,2838,
1934524,198,848,
1934525,198,845,
1934526,198,844,
1934527,198,846,
1934528,198,2848,
1934529,198,1580,
1934530,198,847,
1934532,198,3956,
1934533,198,4019,
1934534,198,4031,
1934535,198,4032,
1934536,198,4033,
1934537,198,3893,
1934538,198,3904,
1934539,198,3667,
1934540,198,3907,
1934541,198,1589,
1934542,198,1590,
1934543,198,843,
1934545,198,840,
1934546,198,841,
1934547,198,3355,
1934548,198,3367,
1934549,198,861,
1934550,198,3369,
1934551,198,1668,
1934552,198,3880,
1934553,198,3882,
1934554,198,3881,
1934555,320,3514,
1934556,320,2680,
1934557,320,2681,
1934558,320,2706,
1934559,320,3519,
1934560,320,3520,
1934561,320,3017,
1934562,320,2704,
1934563,320,2703,
1934564,320,2683,
1934565,320,3725,
1934566,320,3986,
1934567,320,3987,
1934568,320,2700,
1934569,320,2701,
1934570,320,2702,
1934571,320,2686,
1934572,320,2685,
1934573,320,2832,
1934574,320,2682,
1934575,320,2684,
1934576,320,2707,
1934577,320,2708,
1934578,320,2709,
1934579,320,2710,
1934580,320,2712,
1934581,320,2711,
1934582,320,2697,
1934583,320,2698,
1934584,320,2696,
1934585,320,2705,
1934586,320,2699,
1934587,320,4031,
1934588,320,4032,
1934589,320,4033,
1934681,271,1386,
1934682,271,1387,
1934683,271,1394,
1934684,271,1389,
1934685,271,1395,
1934686,271,1396,
1934687,271,1399,
1934688,271,1398,
1934689,271,1419,
1934690,271,1388,
1934691,271,1400,
1934692,271,1397,
1934694,271,1441,
1934696,271,1420,
1934697,271,1453,
1934698,271,1548,
1934699,271,2934,
1934700,271,1385,
1934701,271,1440,
1934702,271,1439,
1934703,271,4003,
1934704,271,3082,
1934705,271,3083,
1934706,271,458,
1934707,271,3096,
1934708,271,1452,
1934709,271,945,
1934710,271,1232,
1934711,271,3891,
1934712,271,359,
1934713,271,3233,
1934714,271,360,
1934715,271,1391,
1934716,271,1430,
1934717,271,1431,
1934718,271,1432,
1934719,271,3296,
1934720,271,3796,
1934721,271,1350,
1934722,271,2559,
1934723,271,303,
1934724,271,308,
1934725,271,302,
1934726,271,3638,
1934727,271,1392,
1934728,271,1422,
1934729,271,1421,
1934730,271,1797,
1934731,271,1796,
1934732,271,1423,
1934733,271,144,
1934734,271,3503,
1934735,271,1424,
1934736,271,2183,
1934737,271,934,
1934738,271,1410,
1934739,271,1551,
1934740,271,1550,
1934741,271,1438,
1934742,271,1539,
1934743,271,3733,
1934744,271,133,
1934745,271,236,
1934746,271,1425,
1934747,271,1426,
1934748,271,1428,
1934749,271,1427,
1934750,271,1429,
1934751,271,2925,
1934752,271,1433,
1934753,271,1436,
1934754,271,1435,
1934755,271,1434,
1934756,271,1437,
1934757,271,995,
1934758,271,1540,
1934759,271,1541,
1934760,271,1542,
1934761,271,1543,
1934762,271,1544,
1934763,262,3993,
1934764,262,3697,
1934765,262,1176,
1934766,262,3792,
1934767,262,1118,
1934768,262,2718,
1934769,262,1180,
1934770,262,1178,
1934771,262,1177,
1934772,262,1179,
1934773,262,1206,
1934774,262,3204,
1934775,262,3977,
1934776,262,3231,
1934777,262,3214,
1934778,262,1192,
1934779,262,3567,
1934780,262,1195,
1934781,262,1197,
1934782,262,3613,
1934783,262,1198,
1934784,262,3577,
1934785,262,3716,
1934786,262,1196,
1934788,262,3763,
1934789,262,1224,
1934790,262,1223,
1934791,262,3758,
1934792,262,1193,
1934793,262,3987,
1934795,262,1233,
1934796,262,2935,
1934797,262,3986,
1934798,262,854,
1934799,262,1190,
1934800,262,1187,
1934801,262,1243,
1934802,262,3846,
1934803,262,1227,
1934804,262,2365,
1934805,262,2355,
